,https://roic.ai/company/MIND,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5300000,7300000,14700000,42000000,37900000,10644000,20597000,27183000,19154000,22406000,26368000,34589000,48910000,76421000,66812000,55172000,71363000,112834000,104685000,92108000,83146000,51819000,40999000,48276000,42942000,42675000,21215000
2,COGS,2300000,1300000,4400000,21500000,16900000,3664000,6972000,7232000,11713000,7041000,6270000,16246000,25827000,40615000,34168000,37047000,44721000,55082000,67272000,60093000,59892000,49150000,48413000,42192000,31202000,26054000,13906000
3,Gross Profit,3000000,6000000,10300000,20500000,21000000,6980000,13625000,19951000,7441000,15365000,20098000,18343000,23083000,35806000,32644000,18125000,26642000,57752000,37413000,32015000,23254000,2669000,-7414000,6084000,11740000,16621000,7309000
4,Gross Profit Ratio,0.5660,0.8219,0.7007,0.4881,0.5541,0.6558,0.6615,0.7340,0.3885,0.6858,0.7622,0.5303,0.4719,0.4685,0.4886,0.3285,0.3733,0.5118,0.3574,0.3476,0.2797,0.0515,-0.1808,0.1260,0.2734,0.3895,0.3445
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1502000,1159000,1850000,3003000
6,General and Administrative Exp.,- -,- -,3200000,4000000,6600000,4466000,4424000,9439000,3713000,5120000,7124000,9625000,15221000,17885000,20394000,14977000,16755000,21354000,22539000,23669000,24958000,18966000,20727000,19663000,20905000,19716000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3200000,4000000,6600000,4466000,4424000,9439000,3713000,5120000,7124000,9625000,15221000,17885000,20394000,14977000,16755000,21354000,22539000,23669000,24958000,18966000,20727000,19663000,20905000,19716000,- -
9,Other Expenses,1400000,3300000,3100000,6600000,12400000,9847000,13123000,16015000,15190000,13677000,10596000,1266000,1307000,1476000,772000,899000,2966000,1854000,972000,2541000,5041000,4712000,3149000,3161000,2696000,4670000,16103000
10,Operating Expenses,1400000,3300000,6300000,10600000,19000000,14313000,17547000,25454000,18903000,18797000,17720000,10891000,16528000,19361000,21166000,15876000,19721000,23208000,23511000,26210000,29999000,23678000,23876000,24326000,24760000,26236000,19106000
11,COGS and Expenses,3700000,4600000,10700000,32100000,35900000,17977000,24519000,32686000,30616000,25838000,23990000,27137000,42355000,59976000,55334000,52923000,64442000,78290000,90783000,86303000,89891000,72828000,72289000,66518000,55962000,52290000,33012000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,283000,344000,544000,304000,229000,14000,10000,47000,72000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629000,756000,740000,533000,314000,902000,739000,653000,- -,- -,- -,- -
14,Depreciation and Amortization,400000,1300000,3100000,6600000,12400000,9847000,13123000,16015000,15190000,13677000,10596000,8958000,8919000,11879000,16531000,18740000,22717000,28774000,34939000,31037000,36986000,32111000,28275000,16637000,11814000,7768000,4627000
15,EBITDA,1900000,4000000,7200000,16900000,400000,3184000,8668000,10283000,3444000,7388000,13002000,16849000,16376000,28806000,28686000,20008000,30267000,63844000,48996000,37377000,27702000,5091000,-2411000,-3522000,-7774000,-2641000,-15143000
16,EBITDA ratio,0.3585,0.5479,0.4898,0.4024,0.0106,0.2991,0.4208,0.3783,0.1798,0.3297,0.4931,0.4871,0.3348,0.3769,0.4294,0.3626,0.4241,0.5658,0.4680,0.4058,0.3332,0.0982,-0.0588,-0.0730,-0.1810,-0.0619,-0.7138
17,Operating Income,1600000,2700000,4000000,9900000,2000000,-7333000,-3922000,-5503000,-11462000,-3432000,2378000,7452000,6555000,16445000,11478000,871000,6921000,34544000,13902000,5805000,-6745000,-26760000,-31290000,-19708000,-13020000,-10375000,-14328000
18,Operating Income ratio,0.3019,0.3699,0.2721,0.2357,0.0528,-0.6889,-0.1904,-0.2024,-0.5984,-0.1532,0.0902,0.2154,0.1340,0.2152,0.1718,0.0158,0.0970,0.3061,0.1328,0.0630,-0.0811,-0.5164,-0.7632,-0.4082,-0.3032,-0.2431,-0.6754
19,Total Other Income Expenses (Gains),-100000,- -,100000,400000,-14000000,670000,-533000,-229000,-284000,-142000,-52000,439000,902000,482000,677000,-232000,-127000,-214000,-378000,221000,-3441000,-999000,-49000,-451000,-6568000,-34000,862000
20,Income Before Tax,1500000,2700000,4100000,10300000,-12000000,-6663000,-4455000,-5732000,-11746000,-3574000,2326000,7891000,7457000,16927000,12155000,639000,6794000,34330000,13524000,6026000,-10186000,-27759000,-31339000,-20159000,-19588000,-10409000,-13466000
21,Income Before Tax Ratio,0.2830,0.3699,0.2789,0.2452,-0.3166,-0.6260,-0.2163,-0.2109,-0.6132,-0.1595,0.0882,0.2281,0.1525,0.2215,0.1819,0.0116,0.0952,0.3043,0.1292,0.0654,-0.1225,-0.5357,-0.7644,-0.4176,-0.4562,-0.2439,-0.6347
22,Income Tax expense (Gain),500000,1000000,1400000,3900000,-3500000,-1799000,-1509000,2725000,-1647000,- -,277000,-2964000,-1828000,5488000,3090000,119000,2065000,10009000,-3527000,1258000,-994000,10977000,1814000,910000,252000,878000,536000
23,Net Income,1000000,1700000,2700000,6400000,-8500000,-4864000,-2946000,-8457000,-10099000,-6289000,2129000,10855000,9285000,11439000,9065000,520000,4729000,24321000,17051000,4768000,-9192000,-38736000,-33153000,-21069000,-19840000,-11287000,-20306000
24,Net Income ratio,0.1887,0.2329,0.1837,0.1524,-0.2243,-0.4570,-0.1430,-0.3111,-0.5273,-0.2807,0.0807,0.3138,0.1898,0.1497,0.1357,0.0094,0.0663,0.2155,0.1629,0.0518,-0.1106,-0.7475,-0.8086,-0.4364,-0.4620,-0.2645,-0.9572
25,EPS,0.66,0.52,0.60,0.87,-0.90,-0.51,-0.32,-0.95,-1.15,-0.72,0.24,1.19,0.97,1.18,0.93,0.05,0.48,2.13,1.34,0.37,-0.74,-3.22,-2.79,-1.82,-1.78,-1.10,-1.80
26,EPS Diluted,0.66,0.50,0.59,0.83,-0.90,-0.51,-0.32,-0.95,-1.15,-0.72,0.23,1.10,0.93,1.11,0.89,0.05,0.46,2.02,1.29,0.36,-0.74,-3.22,-2.79,-1.82,-1.78,-1.10,-1.80
27,Weighted Average Shares Outstanding,3170000,3269231,4522000,7307000,9502000,9550000,9167000,8870000,8747000,8772000,8849000,9126000,9596000,9698000,9768000,9799000,9870000,11432000,12715000,12763000,12479000,12041000,12070000,12084000,12105000,12143000,12519000
28,Weighted Average Shares Outstanding Diluted,3170000,3400000,4581000,7686000,9502000,9550000,9167000,8870000,8747000,8772000,9304000,9844000,10026000,10282000,10205000,9963000,10181000,12069000,13242000,13177000,12479000,12041000,12070000,12084000,12105000,12143000,12519000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926423/000095012905004538/h24885e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012906005272/h35500e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012907002014/0000950129-07-002014-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012908002232/0000950129-08-002232-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012909001231/0000950129-09-001231-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012310033466/0000950123-10-033466-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012311033343/0000950123-11-033343-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312512150047/0001193125-12-150047-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312513142186/0001193125-13-142186-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312514129776/0001193125-14-129776-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312515122895/0001193125-15-122895-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312516533937/0001193125-16-533937-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312517114008/0001193125-17-114008-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828018004266/0001628280-18-004266-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828019003963/0001628280-19-003963-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828020005760/0001628280-20-005760-index.htm,https://www.sec.gov/Archives/edgar/data/926423/000092642321000011/0000926423-21-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,300000,7500000,2500000,3588000,4317000,8244000,5170000,6834000,13138000,16426000,12582000,13884000,5063000,6130000,14647000,15287000,15150000,15162000,5175000,3769000,2902000,9902000,9389000,3090000,4611000
32,Short-Term Investments,- -,- -,- -,- -,- -,13811000,7085000,- -,- -,- -,- -,2550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,300000,7500000,2500000,17399000,11402000,8244000,5170000,6834000,13138000,18976000,12582000,13884000,5063000,6130000,14647000,15287000,15150000,15162000,5175000,3769000,2902000,9902000,9389000,3090000,4611000
34,Net Receivables,- -,- -,4700000,14700000,17300000,5688000,7999000,4282000,3556000,6446000,7213000,8527000,13610000,15780000,16038000,18955000,21739000,38061000,25227000,30519000,27332000,19775000,15830000,10494000,12082000,11921000,4747000
